iter	Passed	Remaining
0	149	149557
1	152	75914
2	154	51387
3	156	39070
4	159	31683
5	161	26707
6	163	23166
7	164	20447
8	166	18296
9	167	16612
10	169	15233
11	171	14082
12	172	13117
13	174	12286
14	175	11554
15	177	10908
16	178	10331
17	179	9811
18	181	9349
19	182	8939
20	183	8555
21	184	8202
22	185	7878
23	186	7582
24	187	7310
25	188	7060
26	189	6829
27	190	6615
28	192	6429
29	193	6249
30	194	6078
31	195	5913
32	196	5764
33	197	5619
34	198	5482
35	200	5355
36	201	5232
37	202	5117
38	203	5008
39	204	4915
40	206	4823
41	207	4728
42	208	4636
43	209	4548
44	210	4466
45	211	4386
46	212	4310
47	213	4235
48	214	4165
49	215	4097
50	216	4032
51	217	3970
52	218	3909
53	220	3862
54	221	3810
55	223	3762
56	224	3711
57	225	3658
58	226	3608
59	227	3562
60	228	3516
61	229	3471
62	230	3427
63	231	3383
64	232	3340
65	233	3300
66	234	3261
67	236	3235
68	237	3201
69	238	3167
70	239	3132
71	240	3097
72	241	3063
73	242	3029
74	243	2998
75	244	2968
76	245	2938
77	246	2910
78	247	2882
79	248	2854
80	249	2827
81	250	2802
82	250	2770
83	252	2748
84	253	2725
85	254	2702
86	255	2678
87	256	2656
88	257	2633
89	258	2612
90	259	2590
91	260	2569
92	261	2547
93	262	2527
94	263	2506
95	264	2486
96	265	2467
97	266	2453
98	267	2437
99	268	2420
100	269	2401
101	270	2384
102	271	2366
103	272	2348
104	273	2333
105	274	2315
106	275	2298
107	276	2282
108	277	2265
109	278	2249
110	278	2234
111	279	2218
112	280	2204
113	281	2190
114	283	2179
115	284	2166
116	285	2150
117	286	2138
118	287	2126
119	288	2114
120	289	2103
121	290	2089
122	292	2082
123	293	2071
124	294	2058
125	294	2046
126	295	2031
127	297	2024
128	298	2016
129	299	2005
130	300	1996
131	301	1985
132	303	1975
133	304	1967
134	305	1957
135	306	1949
136	308	1941
137	309	1933
138	310	1924
139	311	1915
140	313	1907
141	313	1896
142	314	1887
143	315	1877
144	316	1869
145	318	1860
146	319	1853
147	320	1845
148	321	1838
149	323	1832
150	324	1824
151	325	1817
152	326	1809
153	328	1801
154	329	1795
155	330	1786
156	331	1779
157	333	1775
158	334	1771
159	336	1765
160	336	1755
161	338	1748
162	339	1741
163	340	1734
164	341	1726
165	342	1723
166	344	1716
167	345	1710
168	347	1708
169	349	1707
170	351	1703
171	352	1696
172	353	1690
173	354	1683
174	355	1677
175	357	1672
176	358	1666
177	359	1660
178	360	1654
179	361	1648
180	363	1643
181	364	1637
182	365	1632
183	367	1628
184	368	1622
185	369	1616
186	370	1610
187	371	1604
188	372	1600
189	374	1596
190	375	1590
191	376	1585
192	378	1580
193	379	1577
194	381	1573
195	382	1568
196	383	1562
197	384	1557
198	385	1551
199	386	1545
200	387	1541
201	389	1538
202	390	1533
203	391	1528
204	392	1523
205	393	1518
206	395	1514
207	396	1511
208	397	1505
209	398	1500
210	400	1495
211	401	1491
212	402	1486
213	403	1481
214	404	1477
215	405	1472
216	406	1468
217	407	1463
218	409	1458
219	410	1455
220	411	1451
221	413	1447
222	414	1443
223	415	1438
224	416	1433
225	417	1429
226	418	1425
227	420	1422
228	421	1417
229	422	1414
230	423	1411
231	425	1407
232	426	1403
233	427	1399
234	428	1395
235	430	1392
236	431	1389
237	434	1390
238	435	1387
239	447	1416
240	448	1413
241	450	1410
242	452	1408
243	453	1404
244	454	1401
245	456	1399
246	457	1395
247	458	1390
248	459	1386
249	460	1382
250	461	1378
251	462	1374
252	466	1376
253	468	1376
254	470	1373
255	471	1369
256	472	1365
257	473	1361
258	474	1358
259	476	1355
260	477	1351
261	478	1349
262	480	1345
263	481	1342
264	482	1338
265	483	1335
266	484	1331
267	486	1327
268	487	1324
269	488	1321
270	489	1317
271	490	1313
272	491	1309
273	492	1306
274	494	1302
275	495	1298
276	496	1295
277	497	1291
278	498	1288
279	499	1284
280	500	1281
281	501	1278
282	503	1274
283	504	1271
284	505	1268
285	506	1265
286	507	1261
287	508	1258
288	509	1254
289	511	1252
290	512	1249
291	513	1246
292	515	1243
293	516	1239
294	517	1236
295	518	1233
296	519	1230
297	520	1227
298	521	1223
299	522	1219
300	523	1215
301	524	1212
302	525	1209
303	526	1205
304	527	1202
305	528	1199
306	530	1196
307	531	1194
308	532	1191
309	533	1188
310	535	1185
311	536	1182
312	537	1178
313	537	1175
314	538	1172
315	540	1169
316	541	1166
317	542	1163
318	543	1160
319	544	1157
320	545	1153
321	546	1150
322	547	1148
323	549	1145
324	550	1142
325	551	1139
326	552	1136
327	553	1133
328	553	1129
329	554	1126
330	555	1123
331	557	1121
332	558	1118
333	559	1116
334	560	1113
335	561	1110
336	563	1107
337	564	1104
338	565	1101
339	566	1099
340	567	1096
341	568	1093
342	569	1089
343	569	1086
344	571	1084
345	572	1082
346	573	1079
347	574	1076
348	575	1073
349	576	1071
350	578	1069
351	579	1066
352	580	1064
353	581	1061
354	582	1058
355	583	1056
356	584	1053
357	586	1051
358	587	1048
359	588	1046
360	589	1043
361	590	1040
362	591	1037
363	592	1035
364	594	1034
365	595	1031
366	597	1029
367	598	1027
368	599	1025
369	600	1022
370	601	1020
371	603	1018
372	604	1015
373	605	1013
374	606	1011
375	607	1008
376	609	1006
377	610	1004
378	611	1002
379	612	999
380	613	996
381	614	994
382	615	991
383	616	988
384	617	986
385	618	983
386	619	981
387	621	979
388	622	978
389	623	975
390	625	973
391	626	971
392	627	968
393	627	965
394	628	963
395	629	960
396	630	958
397	631	955
398	632	953
399	634	951
400	635	948
401	636	946
402	637	943
403	638	941
404	639	939
405	640	937
406	641	934
407	642	932
408	643	930
409	644	927
410	645	925
411	646	922
412	647	920
413	649	919
414	650	916
415	651	914
416	652	912
417	653	909
418	654	907
419	655	905
420	656	903
421	657	900
422	658	898
423	659	895
424	660	893
425	661	890
426	661	888
427	663	886
428	664	884
429	665	882
430	667	880
431	668	879
432	670	877
433	671	875
434	672	873
435	673	871
436	674	869
437	675	867
438	677	865
439	678	863
440	680	862
441	681	860
442	682	858
443	683	855
444	684	853
445	685	851
446	686	849
447	688	847
448	689	845
449	690	843
450	691	841
451	692	839
452	694	838
453	695	836
454	696	834
455	697	832
456	698	830
457	700	828
458	701	826
459	702	824
460	703	822
461	704	820
462	705	818
463	706	816
464	708	815
465	710	813
466	711	811
467	712	810
468	714	808
469	715	807
470	717	805
471	718	803
472	719	801
473	720	799
474	721	797
475	722	795
476	724	793
477	725	792
478	727	790
479	728	788
480	729	786
481	730	784
482	731	782
483	732	781
484	733	779
485	735	777
486	737	776
487	738	774
488	739	773
489	741	771
490	742	769
491	743	768
492	745	766
493	746	764
494	747	763
495	748	761
496	750	759
497	751	757
498	752	755
499	753	753
500	755	752
501	756	750
502	757	748
503	758	746
504	759	744
505	760	742
506	762	741
507	763	739
508	765	737
509	766	736
510	767	734
511	768	732
512	770	731
513	771	729
514	773	728
515	774	726
516	775	724
517	776	722
518	777	720
519	779	719
520	780	717
521	781	715
522	782	713
523	783	711
524	784	709
525	785	707
526	787	706
527	788	704
528	789	702
529	790	700
530	791	699
531	793	697
532	794	695
533	795	694
534	796	692
535	797	690
536	798	688
537	799	686
538	801	685
539	802	683
540	803	682
541	805	680
542	807	679
543	808	677
544	809	676
545	811	674
546	812	672
547	813	671
548	814	669
549	815	667
550	817	666
551	818	664
552	819	662
553	820	660
554	823	659
555	824	658
556	826	656
557	827	655
558	829	654
559	831	653
560	833	651
561	834	650
562	835	648
563	836	646
564	838	645
565	839	643
566	840	641
567	841	640
568	842	638
569	843	636
570	844	634
571	845	632
572	846	630
573	847	629
574	848	627
575	849	625
576	851	623
577	852	622
578	853	620
579	854	618
580	855	617
581	856	615
582	857	613
583	858	611
584	859	609
585	860	607
586	861	605
587	862	604
588	863	602
589	864	600
590	865	598
591	866	597
592	867	595
593	868	593
594	869	592
595	871	590
596	872	589
597	873	587
598	874	585
599	875	583
600	877	582
601	878	580
602	879	579
603	880	577
604	881	575
605	883	574
606	884	572
607	885	570
608	886	569
609	887	567
610	888	565
611	889	563
612	890	562
613	891	560
614	892	558
615	893	557
616	894	555
617	896	553
618	897	552
619	898	550
620	899	549
621	900	547
622	901	545
623	902	543
624	903	542
625	905	540
626	906	539
627	907	537
628	909	536
629	910	534
630	911	532
631	912	531
632	913	529
633	914	528
634	915	526
635	917	524
636	918	523
637	919	521
638	920	519
639	921	518
640	922	516
641	924	515
642	925	513
643	926	512
644	928	510
645	929	509
646	930	507
647	932	506
648	933	505
649	935	503
650	938	503
651	940	501
652	942	500
653	944	499
654	945	497
655	946	496
656	947	494
657	948	492
658	949	491
659	950	489
660	951	488
661	952	486
662	953	484
663	954	483
664	955	481
665	957	479
666	958	478
667	959	476
668	960	475
669	961	473
670	963	472
671	965	471
672	966	469
673	967	467
674	969	466
675	970	465
676	971	463
677	972	462
678	974	460
679	975	459
680	976	457
681	978	456
682	979	454
683	980	452
684	981	451
685	982	449
686	983	448
687	984	446
688	985	444
689	987	443
690	988	442
691	989	440
692	991	439
693	992	437
694	993	435
695	994	434
696	995	432
697	996	431
698	997	429
699	998	427
700	999	426
701	1000	424
702	1001	423
703	1002	421
704	1004	420
705	1005	418
706	1006	417
707	1007	415
708	1009	414
709	1010	412
710	1011	411
711	1012	409
712	1012	407
713	1014	406
714	1015	404
715	1016	403
716	1017	401
717	1018	400
718	1020	398
719	1021	397
720	1022	395
721	1023	393
722	1024	392
723	1025	390
724	1026	389
725	1027	387
726	1028	386
727	1029	384
728	1031	383
729	1032	381
730	1033	380
731	1035	378
732	1035	377
733	1036	375
734	1037	374
735	1039	372
736	1040	371
737	1041	369
738	1042	368
739	1043	366
740	1045	365
741	1046	363
742	1048	362
743	1049	360
744	1050	359
745	1051	357
746	1052	356
747	1053	354
748	1054	353
749	1055	351
750	1056	350
751	1057	348
752	1059	347
753	1060	345
754	1062	344
755	1063	343
756	1064	341
